"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.997940292E0,1.219963074E-1,1.273851013E-1,9.839039612E0
3.007918291E0,1.356179810E-1,1.203497314E-1,9.831106110E0
3.017896292E0,1.233435059E-1,1.158590698E-1,9.834249573E0
3.027874292E0,1.276844788E-1,1.264869690E-1,9.806108093E0
3.037852291E0,1.362167358E-1,1.218466187E-1,9.818831635E0
3.047830292E0,1.251397705E-1,1.254391479E-1,9.833201752E0
3.057808292E0,1.392105103E-1,1.263372803E-1,9.833052063E0
3.067786291E0,1.258882141E-1,1.037342834E-1,9.832153931E0
3.077764292E0,1.254391479E-1,1.164578247E-1,9.814191284E0
3.087742292E0,1.378633118E-1,1.164578247E-1,9.818232880E0
3.097720291E0,1.284329224E-1,1.314266968E-1,9.830357666E0
3.107698292E0,1.308279419E-1,1.233435059E-1,9.841734009E0
3.117676292E0,1.369651794E-1,1.202000427E-1,9.851014709E0
3.127654291E0,1.305285645E-1,1.305285645E-1,9.822723541E0
3.137632292E0,1.279838562E-1,1.270857239E-1,9.809850311E0
3.147610292E0,1.408570862E-1,1.181044006E-1,9.829758911E0
3.157588291E0,1.273851013E-1,1.151106262E-1,9.848020935E0
3.167566292E0,1.239422607E-1,1.115180969E-1,9.831555176E0
3.177544292E0,1.305285645E-1,1.213975525E-1,9.812095642E0
3.187522291E0,1.303788757E-1,1.204994202E-1,9.823471985E0
3.197500292E0,1.187031555E-1,1.167572021E-1,9.823322296E0
3.207478292E0,1.324745178E-1,1.079255676E-1,9.836794281E0
3.217456292E0,1.483415222E-1,1.233435059E-1,9.839039612E0
3.227434292E0,1.336720276E-1,1.119671631E-1,9.814490662E0
3.237412292E0,1.213975525E-1,1.257385254E-1,9.821825409E0
3.247390292E0,1.240919495E-1,1.170565796E-1,9.821376343E0
3.257368291E0,1.386117554E-1,1.161584473E-1,9.836195526E0
3.267346292E0,1.234931946E-1,1.167572021E-1,9.826166382E0
3.277324292E0,1.321751404E-1,1.245410156E-1,9.828262024E0
3.287302291E0,1.378633118E-1,1.213975525E-1,9.824070740E0
3.297280292E0,1.317260742E-1,1.155596924E-1,9.830357666E0
